#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-miR-1539	0.00	hsa-mir-1539	0.00	0	0
hsa-miR-154-5p	2.00	hsa-mir-154	2.00	2.00	0.12
hsa-miR-154-3p	0.00	hsa-mir-154	0.00	0	0
hsa-miR-155-5p	15.00	hsa-mir-155	15.00	15.00	0.91
hsa-miR-155-3p	0.00	hsa-mir-155	0.00	0	0
hsa-miR-1587	0.00	hsa-mir-1587	0.00	0	0
hsa-miR-15a-5p	6685.00	hsa-mir-15a	6685.00	6685.00	407.73
hsa-miR-15a-3p	24.00	hsa-mir-15a	24.00	24.00	1.46
hsa-miR-15b-5p	8352.00	hsa-mir-15b	8352.00	8352.00	509.41
hsa-miR-15b-3p	2559.00	hsa-mir-15b	2559.00	2559.00	156.08
hsa-miR-16-5p	222309.00	hsa-mir-16-1	222309.00	222309.00	13559.13
hsa-miR-16-1-3p	66.00	hsa-mir-16-1	66.00	66.00	4.03
hsa-miR-16-5p	222417.00	hsa-mir-16-2	222417.00	222417.00	13565.72
hsa-miR-16-2-3p	3072.00	hsa-mir-16-2	3072.00	3072.00	187.37
hsa-miR-17-5p	28345.00	hsa-mir-17	28345.00	28345.00	1728.83
hsa-miR-17-3p	4813.00	hsa-mir-17	4813.00	4813.00	293.56
hsa-miR-181a-5p	372575.00	hsa-mir-181a-1	372575.00	372575.00	22724.19
hsa-miR-181a-3p	18194.00	hsa-mir-181a-1	18194.00	18194.00	1109.69
hsa-miR-181a-5p	372549.00	hsa-mir-181a-2	372549.00	372549.00	22722.61
hsa-miR-181a-2-3p	5733.00	hsa-mir-181a-2	5733.00	5733.00	349.67
hsa-miR-181b-5p	77194.00	hsa-mir-181b-1	77194.00	77194.00	4708.24
hsa-miR-181b-3p	1000.00	hsa-mir-181b-1	1000.00	1000.00	60.99
hsa-miR-181b-5p	77190.00	hsa-mir-181b-2	77190.00	77190.00	4707.99
hsa-miR-181b-2-3p	58.00	hsa-mir-181b-2	58.00	58.00	3.54
hsa-miR-181c-5p	6345.00	hsa-mir-181c	6345.00	6345.00	387.00
hsa-miR-181c-3p	946.00	hsa-mir-181c	946.00	946.00	57.70
hsa-miR-181d-5p	1743.00	hsa-mir-181d	1743.00	1743.00	106.31
hsa-miR-181d-3p	2.00	hsa-mir-181d	2.00	2.00	0.12
hsa-miR-182-5p	108724.00	hsa-mir-182	108724.00	108724.00	6631.32
hsa-miR-182-3p	23.00	hsa-mir-182	23.00	23.00	1.40
hsa-miR-1825	0.00	hsa-mir-1825	0.00	0	0
hsa-miR-1827	0.00	hsa-mir-1827	0.00	0	0
hsa-miR-183-5p	9987.00	hsa-mir-183	9987.00	9987.00	609.13
hsa-miR-183-3p	136.00	hsa-mir-183	136.00	136.00	8.29
hsa-miR-184	1.00	hsa-mir-184	1.00	1.00	0.06
hsa-miR-1843	469.00	hsa-mir-1843	469.00	469.00	28.61
hsa-miR-185-5p	382.00	hsa-mir-185	382.00	382.00	23.30
hsa-miR-185-3p	52.00	hsa-mir-185	52.00	52.00	3.17
hsa-miR-186-5p	157799.00	hsa-mir-186	157799.00	157799.00	9624.52
hsa-miR-186-3p	27.00	hsa-mir-186	27.00	27.00	1.65
hsa-miR-187-5p	0.00	hsa-mir-187	0.00	0	0
hsa-miR-187-3p	8.00	hsa-mir-187	8.00	8.00	0.49
hsa-miR-188-5p	473.00	hsa-mir-188	473.00	473.00	28.85
hsa-miR-188-3p	84.00	hsa-mir-188	84.00	84.00	5.12
hsa-miR-18a-5p	3096.00	hsa-mir-18a	3096.00	3096.00	188.83
hsa-miR-18a-3p	714.00	hsa-mir-18a	714.00	714.00	43.55
hsa-miR-18b-5p	8.00	hsa-mir-18b	8.00	8.00	0.49
hsa-miR-18b-3p	0.00	hsa-mir-18b	0.00	0	0
hsa-miR-1908-5p	208.00	hsa-mir-1908	208.00	208.00	12.69
hsa-miR-1908-3p	221.00	hsa-mir-1908	221.00	221.00	13.48
hsa-miR-1909-5p	1.00	hsa-mir-1909	1.00	1.00	0.06
hsa-miR-1909-3p	2.00	hsa-mir-1909	2.00	2.00	0.12
hsa-miR-190a-5p	591.00	hsa-mir-190a	591.00	591.00	36.05
hsa-miR-190a-3p	12.00	hsa-mir-190a	12.00	12.00	0.73
hsa-miR-190b-5p	20.00	hsa-mir-190b	20.00	20.00	1.22
hsa-miR-190b-3p	0.00	hsa-mir-190b	0.00	0	0
hsa-miR-191-5p	951162.00	hsa-mir-191	951162.00	951162.00	58013.52
hsa-miR-191-3p	720.00	hsa-mir-191	720.00	720.00	43.91
hsa-miR-1910-5p	31.00	hsa-mir-1910	31.00	31.00	1.89
hsa-miR-1910-3p	0.00	hsa-mir-1910	0.00	0	0
hsa-miR-1911-5p	0.00	hsa-mir-1911	0.00	0	0
hsa-miR-1911-3p	0.00	hsa-mir-1911	0.00	0	0
hsa-miR-1912-5p	0.00	hsa-mir-1912	0.00	0	0
hsa-miR-1912-3p	0.00	hsa-mir-1912	0.00	0	0
hsa-miR-1913	4.00	hsa-mir-1913	4.00	4.00	0.24
hsa-miR-1914-5p	8.00	hsa-mir-1914	8.00	8.00	0.49
hsa-miR-1914-3p	1.00	hsa-mir-1914	1.00	1.00	0.06
hsa-miR-1915-5p	5.00	hsa-mir-1915	5.00	5.00	0.30
hsa-miR-1915-3p	11.00	hsa-mir-1915	11.00	11.00	0.67
hsa-miR-192-5p	72529.00	hsa-mir-192	72529.00	72529.00	4423.71
hsa-miR-192-3p	13.00	hsa-mir-192	13.00	13.00	0.79
hsa-miR-193a-5p	1456.00	hsa-mir-193a	1456.00	1456.00	88.80
hsa-miR-193a-3p	1004.00	hsa-mir-193a	1004.00	1004.00	61.24
hsa-miR-193b-5p	106.00	hsa-mir-193b	106.00	106.00	6.47
hsa-miR-193b-3p	3451.00	hsa-mir-193b	3451.00	3451.00	210.48
hsa-miR-194-5p	1873.00	hsa-mir-194-1	1873.00	1873.00	114.24
hsa-miR-194-5p	1899.00	hsa-mir-194-2	1899.00	1899.00	115.82
hsa-miR-194-3p	19.00	hsa-mir-194-2	19.00	19.00	1.16
hsa-miR-195-5p	242.00	hsa-mir-195	242.00	242.00	14.76
hsa-miR-195-3p	99.00	hsa-mir-195	99.00	99.00	6.04
hsa-miR-196a-5p	3999.00	hsa-mir-196a-1	3999.00	3999.00	243.91
hsa-miR-196a-1-3p	2.00	hsa-mir-196a-1	2.00	2.00	0.12
hsa-miR-196a-5p	5451.00	hsa-mir-196a-2	5451.00	5451.00	332.47
hsa-miR-196a-3p	1543.00	hsa-mir-196a-2	1543.00	1543.00	94.11
hsa-miR-196b-5p	1455.00	hsa-mir-196b	1455.00	1455.00	88.74
hsa-miR-196b-3p	42.00	hsa-mir-196b	42.00	42.00	2.56
hsa-miR-197-5p	31.00	hsa-mir-197	31.00	31.00	1.89
hsa-miR-197-3p	5949.00	hsa-mir-197	5949.00	5949.00	362.84
hsa-miR-1972	32.00	hsa-mir-1972-1	32.00	32.00	1.95
hsa-miR-1972	32.00	hsa-mir-1972-2	32.00	32.00	1.95
hsa-miR-1973	2.00	hsa-mir-1973	2.00	2.00	0.12
hsa-miR-1976	0.00	hsa-mir-1976	0.00	0	0
hsa-miR-198	0.00	hsa-mir-198	0.00	0	0
hsa-miR-199a-5p	51.00	hsa-mir-199a-1	51.00	51.00	3.11
hsa-miR-199a-3p	12844.00	hsa-mir-199a-1	12844.00	12844.00	783.38
hsa-miR-199b-3p	12844.00	hsa-mir-199a-1	12844.00	12844.00	783.38
hsa-miR-199a-5p	51.00	hsa-mir-199a-2	51.00	51.00	3.11
hsa-miR-199a-3p	12967.00	hsa-mir-199a-2	12967.00	12967.00	790.89
hsa-miR-199b-3p	12967.00	hsa-mir-199a-2	12967.00	12967.00	790.89
hsa-miR-199a-3p	12844.00	hsa-mir-199b	12844.00	12844.00	783.38
hsa-miR-199b-5p	11584.00	hsa-mir-199b	11584.00	11584.00	706.53
hsa-miR-199b-3p	12844.00	hsa-mir-199b	12844.00	12844.00	783.38
hsa-miR-19a-5p	440.00	hsa-mir-19a	440.00	440.00	26.84
hsa-miR-19a-3p	5419.00	hsa-mir-19a	5419.00	5419.00	330.52
hsa-miR-19b-1-5p	85.00	hsa-mir-19b-1	85.00	85.00	5.18
hsa-miR-19b-3p	12735.00	hsa-mir-19b-1	12735.00	12735.00	776.74
hsa-miR-19b-3p	12655.00	hsa-mir-19b-2	12655.00	12655.00	771.86
hsa-miR-19b-2-5p	0.00	hsa-mir-19b-2	0.00	0	0
hsa-miR-200a-5p	15.00	hsa-mir-200a	15.00	15.00	0.91
hsa-miR-200a-3p	50.00	hsa-mir-200a	50.00	50.00	3.05
hsa-miR-200b-5p	4.00	hsa-mir-200b	4.00	4.00	0.24
hsa-miR-200b-3p	486.00	hsa-mir-200b	486.00	486.00	29.64
hsa-miR-200c-5p	0.00	hsa-mir-200c	0.00	0	0
hsa-miR-200c-3p	153.00	hsa-mir-200c	153.00	153.00	9.33
hsa-miR-202-5p	0.00	hsa-mir-202	0.00	0	0
hsa-miR-202-3p	0.00	hsa-mir-202	0.00	0	0
hsa-miR-203a-5p	0.00	hsa-mir-203a	0.00	0	0
hsa-miR-203a-3p	7.00	hsa-mir-203a	7.00	7.00	0.43
hsa-miR-203b-5p	0.00	hsa-mir-203b	0.00	0	0
hsa-miR-203b-3p	0.00	hsa-mir-203b	0.00	0	0
hsa-miR-204-5p	37797.00	hsa-mir-204	37797.00	37797.00	2305.32
hsa-miR-204-3p	47.00	hsa-mir-204	47.00	47.00	2.87
hsa-miR-205-5p	1.00	hsa-mir-205	1.00	1.00	0.06
hsa-miR-205-3p	0.00	hsa-mir-205	0.00	0	0
hsa-miR-2052	0.00	hsa-mir-2052	0.00	0	0
hsa-miR-2053	0.00	hsa-mir-2053	0.00	0	0
hsa-miR-2054	0.00	hsa-mir-2054	0.00	0	0
hsa-miR-206	0.00	hsa-mir-206	0.00	0	0
hsa-miR-208a-5p	0.00	hsa-mir-208a	0.00	0	0
hsa-miR-208a-3p	0.00	hsa-mir-208a	0.00	0	0
hsa-miR-208b-5p	0.00	hsa-mir-208b	0.00	0	0
hsa-miR-208b-3p	1.00	hsa-mir-208b	1.00	1.00	0.06
hsa-miR-20a-5p	28830.00	hsa-mir-20a	28830.00	28830.00	1758.41
hsa-miR-20a-3p	225.00	hsa-mir-20a	225.00	225.00	13.72
hsa-miR-20b-5p	45.00	hsa-mir-20b	45.00	45.00	2.74
hsa-miR-20b-3p	0.00	hsa-mir-20b	0.00	0	0
hsa-miR-21-5p	737863.00	hsa-mir-21	737863.00	737863.00	45003.93
hsa-miR-21-3p	173606.00	hsa-mir-21	173606.00	173606.00	10588.62
hsa-miR-210-5p	45.00	hsa-mir-210	45.00	45.00	2.74
hsa-miR-210-3p	392.00	hsa-mir-210	392.00	392.00	23.91
hsa-miR-211-5p	4.00	hsa-mir-211	4.00	4.00	0.24
hsa-miR-211-3p	0.00	hsa-mir-211	0.00	0	0
hsa-miR-2110	81.00	hsa-mir-2110	81.00	81.00	4.94
hsa-miR-2113	21.00	hsa-mir-2113	21.00	21.00	1.28
hsa-miR-2114-5p	1.00	hsa-mir-2114	1.00	1.00	0.06
hsa-miR-2114-3p	4.00	hsa-mir-2114	4.00	4.00	0.24
hsa-miR-2115-5p	0.00	hsa-mir-2115	0.00	0	0
hsa-miR-2115-3p	1.00	hsa-mir-2115	1.00	1.00	0.06
hsa-miR-2116-5p	16.00	hsa-mir-2116	16.00	16.00	0.98
hsa-miR-2116-3p	142.00	hsa-mir-2116	142.00	142.00	8.66
hsa-miR-2117	0.00	hsa-mir-2117	0.00	0	0
hsa-miR-212-5p	78.00	hsa-mir-212	78.00	78.00	4.76
hsa-miR-212-3p	134.00	hsa-mir-212	134.00	134.00	8.17
hsa-miR-214-5p	0.00	hsa-mir-214	0.00	0	0
hsa-miR-214-3p	1.00	hsa-mir-214	1.00	1.00	0.06
hsa-miR-215-5p	390.00	hsa-mir-215	390.00	390.00	23.79
hsa-miR-215-3p	0.00	hsa-mir-215	0.00	0	0
hsa-miR-216a-5p	0.00	hsa-mir-216a	0.00	0	0
hsa-miR-216a-3p	0.00	hsa-mir-216a	0.00	0	0
hsa-miR-216b-5p	0.00	hsa-mir-216b	0.00	0	0
hsa-miR-216b-3p	0.00	hsa-mir-216b	0.00	0	0
hsa-miR-217-5p	0.00	hsa-mir-217	0.00	0	0
hsa-miR-217-3p	0.00	hsa-mir-217	0.00	0	0
hsa-miR-218-5p	696.00	hsa-mir-218-1	696.00	696.00	42.45
hsa-miR-218-1-3p	1.00	hsa-mir-218-1	1.00	1.00	0.06
hsa-miR-218-5p	691.00	hsa-mir-218-2	691.00	691.00	42.15
hsa-miR-218-2-3p	0.00	hsa-mir-218-2	0.00	0	0
hsa-miR-219a-5p	16.00	hsa-mir-219a-1	16.00	16.00	0.98
hsa-miR-219a-1-3p	73.00	hsa-mir-219a-1	73.00	73.00	4.45
hsa-miR-219a-5p	5.00	hsa-mir-219a-2	5.00	5.00	0.30
hsa-miR-219a-2-3p	5.00	hsa-mir-219a-2	5.00	5.00	0.30
hsa-miR-219b-5p	14.00	hsa-mir-219b	14.00	14.00	0.85
hsa-miR-219b-3p	21.00	hsa-mir-219b	21.00	21.00	1.28
hsa-miR-22-5p	442.00	hsa-mir-22	442.00	442.00	26.96
hsa-miR-22-3p	538328.00	hsa-mir-22	538328.00	538328.00	32833.84
hsa-miR-221-5p	10895.00	hsa-mir-221	10895.00	10895.00	664.51
hsa-miR-221-3p	123632.00	hsa-mir-221	123632.00	123632.00	7540.60
hsa-miR-222-5p	1537.00	hsa-mir-222	1537.00	1537.00	93.75
hsa-miR-222-3p	141017.00	hsa-mir-222	141017.00	141017.00	8600.95
hsa-miR-223-5p	0.00	hsa-mir-223	0.00	0	0
hsa-miR-223-3p	0.00	hsa-mir-223	0.00	0	0
hsa-miR-224-5p	87.00	hsa-mir-224	87.00	87.00	5.31
hsa-miR-224-3p	5.00	hsa-mir-224	5.00	5.00	0.30
hsa-miR-2276-5p	21.00	hsa-mir-2276	21.00	21.00	1.28
hsa-miR-2276-3p	69.00	hsa-mir-2276	69.00	69.00	4.21
hsa-miR-2277-5p	288.00	hsa-mir-2277	288.00	288.00	17.57
hsa-miR-2277-3p	47.00	hsa-mir-2277	47.00	47.00	2.87
hsa-miR-2278	15.00	hsa-mir-2278	15.00	15.00	0.91
hsa-miR-2355-5p	35.00	hsa-mir-2355	35.00	35.00	2.13
hsa-miR-2355-3p	4.00	hsa-mir-2355	4.00	4.00	0.24
hsa-miR-2392	0.00	hsa-mir-2392	0.00	0	0
hsa-miR-23a-5p	888.00	hsa-mir-23a	888.00	888.00	54.16
hsa-miR-23a-3p	32213.00	hsa-mir-23a	32213.00	32213.00	1964.74
hsa-miR-23b-5p	20.00	hsa-mir-23b	20.00	20.00	1.22
hsa-miR-23b-3p	13569.00	hsa-mir-23b	13569.00	13569.00	827.60
hsa-miR-23c	3.00	hsa-mir-23c	3.00	3.00	0.18
hsa-miR-24-1-5p	79.00	hsa-mir-24-1	79.00	79.00	4.82
hsa-miR-24-3p	19988.00	hsa-mir-24-1	19988.00	19988.00	1219.11
hsa-miR-24-3p	19889.00	hsa-mir-24-2	19889.00	19889.00	1213.08
hsa-miR-24-2-5p	3142.00	hsa-mir-24-2	3142.00	3142.00	191.64
hsa-miR-2467-5p	289.00	hsa-mir-2467	289.00	289.00	17.63
hsa-miR-2467-3p	3.00	hsa-mir-2467	3.00	3.00	0.18
hsa-miR-25-5p	934.00	hsa-mir-25	934.00	934.00	56.97
hsa-miR-25-3p	75226.00	hsa-mir-25	75226.00	75226.00	4588.20
hsa-miR-2681-5p	1.00	hsa-mir-2681	1.00	1.00	0.06
hsa-miR-2681-3p	1.00	hsa-mir-2681	1.00	1.00	0.06
hsa-miR-2682-5p	54.00	hsa-mir-2682	54.00	54.00	3.29
hsa-miR-2682-3p	4.00	hsa-mir-2682	4.00	4.00	0.24
hsa-miR-26a-5p	202937.00	hsa-mir-26a-1	202937.00	202937.00	12377.59
hsa-miR-26a-1-3p	42.00	hsa-mir-26a-1	42.00	42.00	2.56
hsa-miR-26a-5p	202954.00	hsa-mir-26a-2	202954.00	202954.00	12378.62
hsa-miR-26a-2-3p	384.00	hsa-mir-26a-2	384.00	384.00	23.42
hsa-miR-26b-5p	18127.00	hsa-mir-26b	18127.00	18127.00	1105.61
hsa-miR-26b-3p	220.00	hsa-mir-26b	220.00	220.00	13.42
hsa-miR-27a-5p	1742.00	hsa-mir-27a	1742.00	1742.00	106.25
hsa-miR-27a-3p	684541.00	hsa-mir-27a	684541.00	684541.00	41751.71
hsa-miR-27b-5p	5997.00	hsa-mir-27b	5997.00	5997.00	365.77
hsa-miR-27b-3p	749971.00	hsa-mir-27b	749971.00	749971.00	45742.43
hsa-miR-28-5p	3314.00	hsa-mir-28	3314.00	3314.00	202.13
hsa-miR-28-3p	37131.00	hsa-mir-28	37131.00	37131.00	2264.70
hsa-miR-2861	0.00	hsa-mir-2861	0.00	0	0
hsa-miR-2909	0.00	hsa-mir-2909	0.00	0	0
hsa-miR-296-5p	498.00	hsa-mir-296	498.00	498.00	30.37
hsa-miR-296-3p	750.00	hsa-mir-296	750.00	750.00	45.74
hsa-miR-297	0.00	hsa-mir-297	0.00	0	0
hsa-miR-298	0.00	hsa-mir-298	0.00	0	0
hsa-miR-299-5p	1.00	hsa-mir-299	1.00	1.00	0.06
hsa-miR-299-3p	11.00	hsa-mir-299	11.00	11.00	0.67
hsa-miR-29a-5p	205.00	hsa-mir-29a	205.00	205.00	12.50
hsa-miR-29a-3p	28541.00	hsa-mir-29a	28541.00	28541.00	1740.78
hsa-miR-29b-1-5p	263.00	hsa-mir-29b-1	263.00	263.00	16.04
hsa-miR-29b-3p	1544.00	hsa-mir-29b-1	1544.00	1544.00	94.17
hsa-miR-29b-3p	1543.00	hsa-mir-29b-2	1543.00	1543.00	94.11
hsa-miR-29b-2-5p	8.00	hsa-mir-29b-2	8.00	8.00	0.49
hsa-miR-29c-5p	43.00	hsa-mir-29c	43.00	43.00	2.62
hsa-miR-29c-3p	433.00	hsa-mir-29c	433.00	433.00	26.41
hsa-miR-300	0.00	hsa-mir-300	0.00	0	0
hsa-miR-301a-5p	99.00	hsa-mir-301a	99.00	99.00	6.04
hsa-miR-301a-3p	9753.00	hsa-mir-301a	9753.00	9753.00	594.86
hsa-miR-301b-5p	4.00	hsa-mir-301b	4.00	4.00	0.24
hsa-miR-301b-3p	1498.00	hsa-mir-301b	1498.00	1498.00	91.37
hsa-miR-302a-5p	0.00	hsa-mir-302a	0.00	0	0
hsa-miR-302a-3p	0.00	hsa-mir-302a	0.00	0	0
hsa-miR-302b-5p	0.00	hsa-mir-302b	0.00	0	0
hsa-miR-302b-3p	0.00	hsa-mir-302b	0.00	0	0
hsa-miR-302c-5p	0.00	hsa-mir-302c	0.00	0	0
hsa-miR-302c-3p	0.00	hsa-mir-302c	0.00	0	0
hsa-miR-302d-5p	0.00	hsa-mir-302d	0.00	0	0
hsa-miR-302d-3p	0.00	hsa-mir-302d	0.00	0	0
hsa-miR-302e	0.00	hsa-mir-302e	0.00	0	0
hsa-miR-302f	0.00	hsa-mir-302f	0.00	0	0
hsa-miR-3059-5p	337.00	hsa-mir-3059	337.00	337.00	20.55
hsa-miR-3059-3p	0.00	hsa-mir-3059	0.00	0	0
hsa-miR-3064-5p	7.00	hsa-mir-3064	7.00	7.00	0.43
hsa-miR-3064-3p	1.00	hsa-mir-3064	1.00	1.00	0.06
hsa-miR-3065-5p	659.00	hsa-mir-3065	659.00	659.00	40.19
hsa-miR-3065-3p	745.00	hsa-mir-3065	745.00	745.00	45.44
hsa-miR-3074-5p	75.00	hsa-mir-3074	75.00	75.00	4.57
hsa-miR-3074-3p	44.00	hsa-mir-3074	44.00	44.00	2.68
hsa-miR-3085-5p	2.00	hsa-mir-3085	2.00	2.00	0.12
hsa-miR-3085-3p	1.00	hsa-mir-3085	1.00	1.00	0.06
hsa-miR-30a-5p	251848.00	hsa-mir-30a	251848.00	251848.00	15360.78
hsa-miR-30a-3p	7685.00	hsa-mir-30a	7685.00	7685.00	468.73
hsa-miR-30b-5p	27555.00	hsa-mir-30b	27555.00	27555.00	1680.64
hsa-miR-30b-3p	537.00	hsa-mir-30b	537.00	537.00	32.75
hsa-miR-30c-5p	43436.00	hsa-mir-30c-1	43436.00	43436.00	2649.26
hsa-miR-30c-1-3p	564.00	hsa-mir-30c-1	564.00	564.00	34.40
hsa-miR-30c-5p	43444.00	hsa-mir-30c-2	43444.00	43444.00	2649.75
hsa-miR-30c-2-3p	405.00	hsa-mir-30c-2	405.00	405.00	24.70
hsa-miR-30d-5p	230208.00	hsa-mir-30d	230208.00	230208.00	14040.91
hsa-miR-30d-3p	7148.00	hsa-mir-30d	7148.00	7148.00	435.97
hsa-miR-30e-5p	100806.00	hsa-mir-30e	100806.00	100806.00	6148.39
hsa-miR-30e-3p	8851.00	hsa-mir-30e	8851.00	8851.00	539.84
hsa-miR-31-5p	38434.00	hsa-mir-31	38434.00	38434.00	2344.18
hsa-miR-31-3p	911.00	hsa-mir-31	911.00	911.00	55.56
hsa-miR-3115	5.00	hsa-mir-3115	5.00	5.00	0.30
hsa-miR-3116	1.00	hsa-mir-3116-1	1.00	1.00	0.06
hsa-miR-3116	1.00	hsa-mir-3116-2	1.00	1.00	0.06
hsa-miR-3117-5p	0.00	hsa-mir-3117	0.00	0	0
hsa-miR-3117-3p	0.00	hsa-mir-3117	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-1	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-2	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-3	0.00	0	0
hsa-miR-3118	0.00	hsa-mir-3118-4	0.00	0	0
hsa-miR-3119	0.00	hsa-mir-3119-1	0.00	0	0
hsa-miR-3119	2.00	hsa-mir-3119-2	2.00	2.00	0.12
hsa-miR-3120-5p	0.00	hsa-mir-3120	0.00	0	0
hsa-miR-3120-3p	21.00	hsa-mir-3120	21.00	21.00	1.28
hsa-miR-3121-5p	0.00	hsa-mir-3121	0.00	0	0
hsa-miR-3121-3p	6.00	hsa-mir-3121	6.00	6.00	0.37
hsa-miR-3122	0.00	hsa-mir-3122	0.00	0	0
hsa-miR-3123	0.00	hsa-mir-3123	0.00	0	0
hsa-miR-3124-5p	6.00	hsa-mir-3124	6.00	6.00	0.37
hsa-miR-3124-3p	0.00	hsa-mir-3124	0.00	0	0
hsa-miR-3125	0.00	hsa-mir-3125	0.00	0	0
hsa-miR-3126-5p	9.00	hsa-mir-3126	9.00	9.00	0.55
hsa-miR-3126-3p	1.00	hsa-mir-3126	1.00	1.00	0.06
hsa-miR-3127-5p	0.00	hsa-mir-3127	0.00	0	0
hsa-miR-3127-3p	8.00	hsa-mir-3127	8.00	8.00	0.49
hsa-miR-3128	5.00	hsa-mir-3128	5.00	5.00	0.30
hsa-miR-3129-5p	3.00	hsa-mir-3129	3.00	3.00	0.18
hsa-miR-3129-3p	12.00	hsa-mir-3129	12.00	12.00	0.73
hsa-miR-3130-5p	17.00	hsa-mir-3130-1	17.00	17.00	1.04
hsa-miR-3130-3p	19.00	hsa-mir-3130-1	19.00	19.00	1.16
hsa-miR-3130-5p	17.00	hsa-mir-3130-2	17.00	17.00	1.04
hsa-miR-3130-3p	19.00	hsa-mir-3130-2	19.00	19.00	1.16
hsa-miR-3131	3.00	hsa-mir-3131	3.00	3.00	0.18
hsa-miR-3132	1.00	hsa-mir-3132	1.00	1.00	0.06
hsa-miR-3133	5.00	hsa-mir-3133	5.00	5.00	0.30
hsa-miR-3134	4.00	hsa-mir-3134	4.00	4.00	0.24
hsa-miR-3135a	3.00	hsa-mir-3135a	3.00	3.00	0.18
hsa-miR-3135b	0.00	hsa-mir-3135b	0.00	0	0
hsa-miR-3136-5p	19.00	hsa-mir-3136	19.00	19.00	1.16
hsa-miR-3136-3p	0.00	hsa-mir-3136	0.00	0	0
hsa-miR-3137	0.00	hsa-mir-3137	0.00	0	0
hsa-miR-3138	17.00	hsa-mir-3138	17.00	17.00	1.04
hsa-miR-3139	7.00	hsa-mir-3139	7.00	7.00	0.43
hsa-miR-3140-5p	0.00	hsa-mir-3140	0.00	0	0
hsa-miR-3140-3p	14.00	hsa-mir-3140	14.00	14.00	0.85
hsa-miR-3141	16.00	hsa-mir-3141	16.00	16.00	0.98
hsa-miR-3142	1.00	hsa-mir-3142	1.00	1.00	0.06
hsa-miR-3142	1.00	hsa-mir-3142	1.00	1.00	0.06
hsa-miR-3143	6.00	hsa-mir-3143	6.00	6.00	0.37
hsa-miR-3144-5p	39.00	hsa-mir-3144	39.00	39.00	2.38
hsa-miR-3144-3p	20.00	hsa-mir-3144	20.00	20.00	1.22
hsa-miR-3145-5p	14.00	hsa-mir-3145	14.00	14.00	0.85
hsa-miR-3145-3p	0.00	hsa-mir-3145	0.00	0	0
hsa-miR-3146	0.00	hsa-mir-3146	0.00	0	0
hsa-miR-3147	0.00	hsa-mir-3147	0.00	0	0
hsa-miR-3148	0.00	hsa-mir-3148	0.00	0	0
hsa-miR-3149	1.00	hsa-mir-3149	1.00	1.00	0.06
hsa-miR-3150a-5p	9.00	hsa-mir-3150a	9.00	9.00	0.55
hsa-miR-3150a-3p	3.00	hsa-mir-3150a	3.00	3.00	0.18
hsa-miR-3150b-5p	0.00	hsa-mir-3150b	0.00	0	0
hsa-miR-3150b-3p	0.00	hsa-mir-3150b	0.00	0	0
hsa-miR-3151-5p	2.00	hsa-mir-3151	2.00	2.00	0.12
hsa-miR-3151-3p	0.00	hsa-mir-3151	0.00	0	0
hsa-miR-3152-5p	2.00	hsa-mir-3152	2.00	2.00	0.12
hsa-miR-3152-3p	0.00	hsa-mir-3152	0.00	0	0
hsa-miR-3153	1.00	hsa-mir-3153	1.00	1.00	0.06
hsa-miR-3154	28.00	hsa-mir-3154	28.00	28.00	1.71
hsa-miR-3155a	2.00	hsa-mir-3155a	2.00	2.00	0.12
hsa-miR-3155b	2.00	hsa-mir-3155a	2.00	2.00	0.12
hsa-miR-3155b	1.00	hsa-mir-3155b	1.00	1.00	0.06
hsa-miR-3156-5p	0.00	hsa-mir-3156-1	0.00	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-1	0.00	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-2	0.00	0	0
hsa-miR-3156-3p	0.00	hsa-mir-3156-2	0.00	0	0
hsa-miR-3156-5p	0.00	hsa-mir-3156-3	0.00	0	0
hsa-miR-3157-5p	9.00	hsa-mir-3157	9.00	9.00	0.55
hsa-miR-3157-3p	42.00	hsa-mir-3157	42.00	42.00	2.56
hsa-miR-3158-5p	1.00	hsa-mir-3158-1	1.00	1.00	0.06
hsa-miR-3158-3p	305.00	hsa-mir-3158-1	305.00	305.00	18.60
hsa-miR-3158-5p	1.00	hsa-mir-3158-2	1.00	1.00	0.06
hsa-miR-3158-3p	305.00	hsa-mir-3158-2	305.00	305.00	18.60
hsa-miR-3159	15.00	hsa-mir-3159	15.00	15.00	0.91
hsa-miR-3160-5p	0.00	hsa-mir-3160-1	0.00	0	0
hsa-miR-3160-3p	21.00	hsa-mir-3160-1	21.00	21.00	1.28
hsa-miR-3160-5p	0.00	hsa-mir-3160-2	0.00	0	0
hsa-miR-3160-3p	21.00	hsa-mir-3160-2	21.00	21.00	1.28
hsa-miR-3161	0.00	hsa-mir-3161	0.00	0	0
hsa-miR-3162-5p	1.00	hsa-mir-3162	1.00	1.00	0.06
hsa-miR-3162-3p	2.00	hsa-mir-3162	2.00	2.00	0.12
hsa-miR-3163	11.00	hsa-mir-3163	11.00	11.00	0.67
hsa-miR-3164	1.00	hsa-mir-3164	1.00	1.00	0.06
