#miRNA	read_count
hsa-miR-302b-3p	0
hsa-miR-302c-5p	0
hsa-miR-302c-3p	0
hsa-miR-302d-5p	0
hsa-miR-302d-3p	0
hsa-miR-302e	0
hsa-miR-302f	0
hsa-miR-3059-3p	0
hsa-miR-3117-5p	0
hsa-miR-3117-3p	0
hsa-miR-3118	0
hsa-miR-3118	0
hsa-miR-3118	0
hsa-miR-3118	0
hsa-miR-3119	0
hsa-miR-3120-5p	0
hsa-miR-3121-5p	0
hsa-miR-3122	0
hsa-miR-3123	0
hsa-miR-3124-3p	0
hsa-miR-3125	0
hsa-miR-3127-5p	0
hsa-miR-3135b	0
hsa-miR-3136-3p	0
hsa-miR-3137	0
hsa-miR-3140-5p	0
hsa-miR-3145-3p	0
hsa-miR-3146	0
hsa-miR-3147	0
hsa-miR-3148	0
hsa-miR-3150b-5p	0
hsa-miR-3150b-3p	0
hsa-miR-3151-3p	0
hsa-miR-3152-3p	0
hsa-miR-3156-5p	0
hsa-miR-3156-3p	0
hsa-miR-3156-5p	0
hsa-miR-3156-3p	0
hsa-miR-3156-5p	0
hsa-miR-3160-5p	0
hsa-miR-3160-5p	0
hsa-miR-3161	0
hsa-miR-3168	0
hsa-miR-3169	0
hsa-miR-3171	0
hsa-miR-3178	0
hsa-miR-3182	0
hsa-miR-3184-5p	0
hsa-miR-3185	0
hsa-miR-3186-5p	0
hsa-miR-3186-3p	0
hsa-miR-3189-5p	0
hsa-miR-3190-5p	0
hsa-miR-3191-5p	0
hsa-miR-3195	0
hsa-miR-3197	0
hsa-miR-3198	0
hsa-miR-3198	0
hsa-miR-3201	0
hsa-miR-3202	0
hsa-miR-3202	0
hsa-miR-323a-5p	0
hsa-miR-323b-5p	0
hsa-miR-325	0
hsa-miR-329-5p	0
hsa-miR-329-5p	0
hsa-miR-337-5p	0
hsa-miR-337-3p	0
hsa-miR-3529-5p	0
hsa-miR-3529-3p	0
hsa-miR-3606-5p	0
hsa-miR-3606-3p	0
hsa-miR-3612	0
hsa-miR-3616-5p	0
hsa-miR-3616-3p	0
hsa-miR-3618	0
hsa-miR-3619-3p	0
hsa-miR-3621	0
hsa-miR-3622a-5p	0
hsa-miR-3622a-3p	0
hsa-miR-3622b-5p	0
hsa-miR-363-5p	0
hsa-miR-3646	0
hsa-miR-3649	0
hsa-miR-3650	0
hsa-miR-3652	0
hsa-miR-3654	0
hsa-miR-3655	0
hsa-miR-3657	0
hsa-miR-3658	0
hsa-miR-3659	0
hsa-miR-3664-5p	0
hsa-miR-3664-3p	0
hsa-miR-3665	0
hsa-miR-3666	0
hsa-miR-3667-5p	0
hsa-miR-3667-3p	0
hsa-miR-3668	0
hsa-miR-367-5p	0
hsa-miR-367-3p	0
hsa-miR-3670	0
hsa-miR-3670	0
hsa-miR-3670	0
hsa-miR-3670	0
hsa-miR-3671	0
hsa-miR-3672	0
hsa-miR-3674	0
hsa-miR-3675-5p	0
hsa-miR-3675-3p	0
hsa-miR-3678-3p	0
hsa-miR-3680-3p	0
hsa-miR-3680-3p	0
hsa-miR-3681-3p	0
hsa-miR-3682-5p	0
hsa-miR-3683	0
hsa-miR-3686	0
hsa-miR-3688-5p	0
hsa-miR-3688-5p	0
hsa-miR-3689a-3p	0
hsa-miR-3689b-3p	0
hsa-miR-3689c	0
hsa-miR-3689a-3p	0
hsa-miR-3689b-3p	0
hsa-miR-3689c	0
hsa-miR-3689d	0
hsa-miR-3689d	0
hsa-miR-3690	0
hsa-miR-3690	0
hsa-miR-3692-5p	0
hsa-miR-3692-3p	0
hsa-miR-370-5p	0
hsa-miR-370-3p	0
hsa-miR-3713	0
hsa-miR-3714	0
hsa-miR-371a-3p	0
hsa-miR-371b-5p	0
hsa-miR-371b-3p	0
hsa-miR-372-5p	0
hsa-miR-373-5p	0
hsa-miR-374c-5p	0
hsa-miR-374c-3p	0
hsa-miR-375-5p	0
hsa-miR-376a-2-5p	0
hsa-miR-376b-5p	0
hsa-miR-376c-5p	0
hsa-miR-378j	0
hsa-miR-380-5p	0
hsa-miR-380-3p	0
hsa-miR-381-5p	0
hsa-miR-382-5p	0
hsa-miR-382-3p	0
hsa-miR-384	0
hsa-miR-3907	0
hsa-miR-3908	0
hsa-miR-3910	0
hsa-miR-3910	0
hsa-miR-3912-5p	0
hsa-miR-3913-3p	0
hsa-miR-3913-3p	0
hsa-miR-3914	0
hsa-miR-3914	0
hsa-miR-3915	0
hsa-miR-3919	0
hsa-miR-3921	0
hsa-miR-3922-5p	0
hsa-miR-3922-3p	0
hsa-miR-3923	0
hsa-miR-3924	0
hsa-miR-3925-5p	0
hsa-miR-3925-3p	0
hsa-miR-3926	0
hsa-miR-3926	0
hsa-miR-3927-5p	0
hsa-miR-3927-3p	0
hsa-miR-3928-5p	0
hsa-miR-3936	0
hsa-miR-3937	0
hsa-miR-3941	0
hsa-miR-3943	0
hsa-miR-3972	0
hsa-miR-3973	0
hsa-miR-3974	0
hsa-miR-3975	0
hsa-miR-3976	0
hsa-miR-3977	0
hsa-miR-3978	0
hsa-miR-410-5p	0
hsa-miR-412-3p	0
hsa-miR-4251	0
hsa-miR-4252	0
hsa-miR-4253	0
hsa-miR-4255	0
hsa-miR-4256	0
hsa-miR-4257	0
hsa-miR-4258	0
hsa-miR-4259	0
hsa-miR-4260	0
hsa-miR-4261	0
hsa-miR-4262	0
hsa-miR-4263	0
hsa-miR-4264	0
hsa-miR-4265	0
hsa-miR-4266	0
hsa-miR-4267	0
hsa-miR-4268	0
hsa-miR-4269	0
hsa-miR-4270	0
hsa-miR-4271	0
hsa-miR-4272	0
hsa-miR-4273	0
hsa-miR-4274	0
hsa-miR-4275	0
hsa-miR-4276	0
hsa-miR-4277	0
hsa-miR-4278	0
hsa-miR-4279	0
hsa-miR-4280	0
hsa-miR-4281	0
hsa-miR-4282	0
hsa-miR-4283	0
hsa-miR-4283	0
hsa-miR-4285	0
hsa-miR-4287	0
hsa-miR-4288	0
hsa-miR-4289	0
hsa-miR-4290	0
hsa-miR-4291	0
hsa-miR-4292	0
hsa-miR-4293	0
hsa-miR-4294	0
hsa-miR-4295	0
hsa-miR-4296	0
hsa-miR-4297	0
hsa-miR-4298	0
hsa-miR-4299	0
hsa-miR-4300	0
hsa-miR-4301	0
hsa-miR-4302	0
hsa-miR-4303	0
hsa-miR-4304	0
hsa-miR-4305	0
hsa-miR-4306	0
hsa-miR-4307	0
hsa-miR-4308	0
hsa-miR-4309	0
hsa-miR-431-5p	0
hsa-miR-431-3p	0
hsa-miR-4310	0
hsa-miR-4311	0
hsa-miR-4312	0
hsa-miR-4313	0
hsa-miR-4314	0
hsa-miR-4315	0
hsa-miR-4315	0
hsa-miR-4316	0
hsa-miR-4317	0
hsa-miR-4318	0
hsa-miR-4319	0
hsa-miR-432-5p	0
hsa-miR-432-3p	0
hsa-miR-4320	0
hsa-miR-4321	0
hsa-miR-4322	0
hsa-miR-4323	0
hsa-miR-4324	0
hsa-miR-4325	0
hsa-miR-4327	0
hsa-miR-4328	0
hsa-miR-4329	0
hsa-miR-433-5p	0
hsa-miR-433-3p	0
hsa-miR-4330	0
hsa-miR-4418	0
hsa-miR-4420	0
hsa-miR-4424	0
hsa-miR-4427	0
hsa-miR-4428	0
hsa-miR-4429	0
hsa-miR-4430	0
hsa-miR-4431	0
hsa-miR-4432	0
hsa-miR-4433a-5p	0
hsa-miR-4433a-3p	0
hsa-miR-4433b-5p	0
hsa-miR-4433b-3p	0
hsa-miR-4434	0
hsa-miR-4436a	0
hsa-miR-4436b-5p	0
hsa-miR-4436b-3p	0
hsa-miR-4436b-5p	0
hsa-miR-4436b-3p	0
hsa-miR-4437	0
hsa-miR-4438	0
hsa-miR-4439	0
hsa-miR-4441	0
hsa-miR-4442	0
hsa-miR-4444	0
hsa-miR-4444	0
hsa-miR-4446-5p	0
hsa-miR-4446-3p	0
hsa-miR-4447	0
hsa-miR-4450	0
hsa-miR-4451	0
hsa-miR-4452	0
hsa-miR-4453	0
hsa-miR-4455	0
hsa-miR-4456	0
hsa-miR-4460	0
hsa-miR-4462	0
hsa-miR-4463	0
hsa-miR-4464	0
hsa-miR-4465	0
hsa-miR-4467	0
hsa-miR-4468	0
hsa-miR-4469	0
hsa-miR-4470	0
hsa-miR-4471	0
hsa-miR-4472	0
hsa-miR-4472	0
hsa-miR-4474-5p	0
hsa-miR-4476	0
hsa-miR-4480	0
hsa-miR-4481	0
hsa-miR-4482-5p	0
hsa-miR-4482-3p	0
hsa-miR-4483	0
hsa-miR-4486	0
hsa-miR-4487	0
hsa-miR-4487	0
hsa-miR-4489	0
hsa-miR-4490	0
hsa-miR-4491	0
hsa-miR-4492	0
hsa-miR-4493	0
hsa-miR-4494	0
hsa-miR-4495	0
hsa-miR-4496	0
hsa-miR-4497	0
hsa-miR-4499	0
hsa-miR-449b-3p	0
hsa-miR-449c-3p	0
hsa-miR-4500	0
hsa-miR-4503	0
hsa-miR-4505	0
hsa-miR-4506	0
hsa-miR-4509	0
hsa-miR-4509	0
hsa-miR-4509	0
hsa-miR-450b-3p	0
hsa-miR-4513	0
hsa-miR-4514	0
hsa-miR-4516	0
hsa-miR-4518	0
hsa-miR-4519	0
hsa-miR-451a	0
hsa-miR-451b	0
hsa-miR-452-3p	0
hsa-miR-4520-5p	0
hsa-miR-4520-3p	0
hsa-miR-4520-5p	0
hsa-miR-4520-2-3p	0
hsa-miR-4524a-3p	0
hsa-miR-4524b-5p	0
hsa-miR-4524b-3p	0
hsa-miR-4526	0
hsa-miR-4527	0
hsa-miR-4528	0
hsa-miR-4529-5p	0
hsa-miR-4529-3p	0
hsa-miR-4530	0
hsa-miR-4531	0
hsa-miR-4533	0
hsa-miR-4534	0
hsa-miR-4535	0
hsa-miR-4536-3p	0
hsa-miR-4536-3p	0
hsa-miR-4537	0
hsa-miR-4538	0
hsa-miR-4539	0
hsa-miR-4540	0
hsa-miR-4632-5p	0
hsa-miR-4633-5p	0
hsa-miR-4633-3p	0
hsa-miR-4634	0
hsa-miR-4636	0
hsa-miR-4639-5p	0
hsa-miR-4639-3p	0
hsa-miR-4640-5p	0
hsa-miR-4641	0
hsa-miR-4643	0
hsa-miR-4644	0
hsa-miR-4645-5p	0
hsa-miR-4646-5p	0
hsa-miR-4648	0
hsa-miR-4649-5p	0
hsa-miR-4650-5p	0
hsa-miR-4650-3p	0
hsa-miR-4650-5p	0
hsa-miR-4650-3p	0
hsa-miR-4653-5p	0
hsa-miR-4653-3p	0
hsa-miR-4655-3p	0
hsa-miR-4656	0
hsa-miR-4657	0
hsa-miR-4659b-5p	0
hsa-miR-4659b-3p	0
hsa-miR-4662b	0
hsa-miR-4663	0
hsa-miR-4664-5p	0
hsa-miR-4665-3p	0
hsa-miR-4666a-3p	0
hsa-miR-4667-3p	0
hsa-miR-4669	0
hsa-miR-4670-3p	0
hsa-miR-4674	0
hsa-miR-4675	0
hsa-miR-4676-5p	0
hsa-miR-4678	0
hsa-miR-4679	0
hsa-miR-4679	0
hsa-miR-4680-5p	0
hsa-miR-4680-3p	0
hsa-miR-4683	0
hsa-miR-4684-5p	0
hsa-miR-4684-3p	0
hsa-miR-4685-5p	0
hsa-miR-4686	0
hsa-miR-4690-5p	0
hsa-miR-4691-5p	0
hsa-miR-4691-3p	0
hsa-miR-4692	0
hsa-miR-4693-5p	0
hsa-miR-4693-3p	0
hsa-miR-4694-5p	0
hsa-miR-4696	0
hsa-miR-4697-5p	0
hsa-miR-4698	0
hsa-miR-4699-5p	0
hsa-miR-4700-5p	0
hsa-miR-4701-5p	0
hsa-miR-4701-3p	0
hsa-miR-4703-5p	0
hsa-miR-4703-3p	0
hsa-miR-4704-5p	0
hsa-miR-4704-3p	0
hsa-miR-4708-5p	0
hsa-miR-4708-3p	0
hsa-miR-4709-5p	0
hsa-miR-4710	0
hsa-miR-4711-5p	0
hsa-miR-4711-3p	0
hsa-miR-4712-5p	0
hsa-miR-4713-3p	0
hsa-miR-4715-5p	0
hsa-miR-4715-3p	0
hsa-miR-4716-3p	0
hsa-miR-4717-5p	0
hsa-miR-4718	0
hsa-miR-4719	0
hsa-miR-4720-3p	0
hsa-miR-4722-5p	0
hsa-miR-4722-3p	0
hsa-miR-4724-5p	0
hsa-miR-4724-3p	0
hsa-miR-4727-5p	0
hsa-miR-4729	0
hsa-miR-4732-5p	0
hsa-miR-4732-3p	0
hsa-miR-4734	0
hsa-miR-4735-3p	0
hsa-miR-4736	0
hsa-miR-4738-5p	0
hsa-miR-4740-3p	0
hsa-miR-4743-3p	0
hsa-miR-4744	0
hsa-miR-4746-3p	0
hsa-miR-4747-5p	0
hsa-miR-4747-3p	0
hsa-miR-4748	0
hsa-miR-4750-3p	0
hsa-miR-4751	0
hsa-miR-4752	0
hsa-miR-4755-3p	0
hsa-miR-4756-5p	0
hsa-miR-4756-3p	0
hsa-miR-4757-5p	0
hsa-miR-4758-5p	0
hsa-miR-4758-3p	0
hsa-miR-4759	0
hsa-miR-4760-5p	0
hsa-miR-4760-3p	0
hsa-miR-4761-5p	0
hsa-miR-4762-3p	0
hsa-miR-4763-5p	0
hsa-miR-4763-3p	0
hsa-miR-4764-5p	0
hsa-miR-4764-3p	0
hsa-miR-4767	0
hsa-miR-4768-3p	0
hsa-miR-4770	0
hsa-miR-4771	0
hsa-miR-4771	0
hsa-miR-4772-5p	0
hsa-miR-4772-3p	0
hsa-miR-4773	0
hsa-miR-4773	0
hsa-miR-4774-5p	0
hsa-miR-4774-3p	0
hsa-miR-4776-3p	0
hsa-miR-4776-3p	0
hsa-miR-4777-5p	0
hsa-miR-4777-3p	0
hsa-miR-4778-5p	0
hsa-miR-4778-3p	0
hsa-miR-4779	0
hsa-miR-4781-5p	0
hsa-miR-4781-3p	0
hsa-miR-4782-5p	0
hsa-miR-4782-3p	0
hsa-miR-4783-5p	0
hsa-miR-4786-3p	0
hsa-miR-4787-5p	0
hsa-miR-4788	0
hsa-miR-4789-5p	0
hsa-miR-4789-3p	0
hsa-miR-4790-5p	0
hsa-miR-4790-3p	0
hsa-miR-4793-5p	0
hsa-miR-4795-5p	0
hsa-miR-4795-3p	0
hsa-miR-4796-5p	0
hsa-miR-4798-3p	0
hsa-miR-4799-5p	0
hsa-miR-4799-3p	0
hsa-miR-4800-5p	0
hsa-miR-4801	0
hsa-miR-4802-5p	0
hsa-miR-4802-3p	0
hsa-miR-483-5p	0
hsa-miR-483-3p	0
hsa-miR-487a-5p	0
hsa-miR-487b-5p	0
hsa-miR-489-5p	0
hsa-miR-490-5p	0
hsa-miR-492	0
hsa-miR-493-5p	0
hsa-miR-493-3p	0
hsa-miR-494-5p	0
hsa-miR-495-5p	0
hsa-miR-498-5p	0
hsa-miR-498-3p	0
hsa-miR-4999-3p	0
hsa-miR-499a-3p	0
hsa-miR-499b-5p	0
hsa-miR-499b-3p	0
hsa-miR-5002-3p	0
hsa-miR-5003-5p	0
hsa-miR-5003-3p	0
hsa-miR-5004-5p	0
hsa-miR-5004-3p	0
hsa-miR-5006-5p	0
hsa-miR-5007-5p	0
hsa-miR-5011-5p	0
hsa-miR-5047	0
hsa-miR-5092	0
hsa-miR-5093	0
hsa-miR-511-5p	0
hsa-miR-511-3p	0
hsa-miR-512-5p	0
hsa-miR-512-5p	0
hsa-miR-516b-3p	0
hsa-miR-516a-3p	0
hsa-miR-516b-3p	0
hsa-miR-516a-3p	0
hsa-miR-516b-3p	0
hsa-miR-516a-3p	0
hsa-miR-516b-3p	0
hsa-miR-516a-3p	0
hsa-miR-517c-3p	0
hsa-miR-5186	0
hsa-miR-5187-3p	0
hsa-miR-518a-5p	0
hsa-miR-527	0
hsa-miR-518a-5p	0
hsa-miR-527	0
hsa-miR-518c-5p	0
hsa-miR-526a-5p	0
hsa-miR-520c-5p	0
hsa-miR-518d-5p	0
hsa-miR-519c-5p	0
hsa-miR-519b-5p	0
hsa-miR-523-5p	0
hsa-miR-518e-5p	0
hsa-miR-518e-3p	0
hsa-miR-522-5p	0
hsa-miR-519a-5p	0
hsa-miR-518f-5p	0
hsa-miR-518f-3p	0
hsa-miR-5190	0
hsa-miR-5192	0
hsa-miR-5193	0
hsa-miR-5194	0
hsa-miR-5195-5p	0
hsa-miR-5195-3p	0
hsa-miR-5196-5p	0
hsa-miR-5197-5p	0
hsa-miR-5197-3p	0
hsa-miR-519c-5p	0
hsa-miR-519b-5p	0
hsa-miR-523-5p	0
hsa-miR-518e-5p	0
hsa-miR-522-5p	0
hsa-miR-519a-5p	0
hsa-miR-519c-5p	0
hsa-miR-519b-5p	0
hsa-miR-523-5p	0
hsa-miR-518e-5p	0
hsa-miR-522-5p	0
hsa-miR-519a-5p	0
hsa-miR-519d-5p	0
hsa-miR-519e-5p	0
hsa-miR-519e-3p	0
hsa-miR-520a-5p	0
hsa-miR-526a-5p	0
hsa-miR-520c-5p	0
hsa-miR-518d-5p	0
hsa-miR-520d-3p	0
hsa-miR-520e-5p	0
hsa-miR-520e-3p	0
hsa-miR-520f-5p	0
hsa-miR-520g-5p	0
hsa-miR-520g-5p	0
hsa-miR-521	0
hsa-miR-521	0
hsa-miR-519c-5p	0
hsa-miR-519b-5p	0
hsa-miR-523-5p	0
hsa-miR-518e-5p	0
hsa-miR-522-5p	0
hsa-miR-519a-5p	0
hsa-miR-519c-5p	0
hsa-miR-519b-5p	0
hsa-miR-523-5p	0
hsa-miR-518e-5p	0
hsa-miR-522-5p	0
hsa-miR-519a-5p	0
hsa-miR-524-5p	0
hsa-miR-525-5p	0
hsa-miR-525-3p	0
hsa-miR-526a-5p	0
hsa-miR-526a-3p	0
hsa-miR-520c-5p	0
hsa-miR-518d-5p	0
hsa-miR-526a-5p	0
hsa-miR-520c-5p	0
hsa-miR-518d-5p	0
hsa-miR-526b-3p	0
hsa-miR-518a-5p	0
hsa-miR-527	0
hsa-miR-541-5p	0
hsa-miR-541-3p	0
hsa-miR-544a	0
hsa-miR-544b	0
hsa-miR-548ad-3p	0
hsa-miR-548ag	0
hsa-miR-548ao-5p	0
hsa-miR-548ap-5p	0
hsa-miR-548au-3p	0
hsa-miR-548av-5p	0
hsa-miR-548az-3p	0
hsa-miR-548bb-3p	0
hsa-miR-548f-3p	0
hsa-miR-548f-3p	0
hsa-miR-548g-3p	0
hsa-miR-548g-3p	0
hsa-miR-548m	0
hsa-miR-550b-2-5p	0
hsa-miR-550b-2-5p	0
hsa-miR-551a	0
hsa-miR-552-5p	0
hsa-miR-552-3p	0
hsa-miR-553	0
hsa-miR-554	0
hsa-miR-555	0
hsa-miR-557	0
hsa-miR-5571-5p	0
hsa-miR-5571-3p	0
hsa-miR-5572	0
hsa-miR-5579-5p	0
hsa-miR-5579-3p	0
hsa-miR-558	0
hsa-miR-5580-5p	0
hsa-miR-5580-3p	0
hsa-miR-5582-5p	0
hsa-miR-5583-3p	0
hsa-miR-5583-3p	0
hsa-miR-5584-3p	0
hsa-miR-5585-5p	0
hsa-miR-5586-5p	0
hsa-miR-5586-3p	0
hsa-miR-5588-3p	0
hsa-miR-5589-5p	0
hsa-miR-5589-3p	0
hsa-miR-559	0
hsa-miR-5590-5p	0
hsa-miR-5590-3p	0
hsa-miR-5591-5p	0
hsa-miR-5591-3p	0
hsa-miR-562	0
hsa-miR-563	0
hsa-miR-564	0
hsa-miR-567	0
hsa-miR-568	0
hsa-miR-5680	0
hsa-miR-5681a	0
hsa-miR-5681b	0
hsa-miR-5682	0
hsa-miR-5684	0
hsa-miR-5685	0
hsa-miR-5687	0
hsa-miR-5688	0
hsa-miR-569	0
hsa-miR-5691	0
hsa-miR-5692a	0
hsa-miR-5692a	0
hsa-miR-5692b	0
hsa-miR-5692c	0
hsa-miR-5692b	0
hsa-miR-5692c	0
hsa-miR-5692b	0
hsa-miR-5693	0
hsa-miR-5694	0
hsa-miR-5695	0
hsa-miR-5698	0
hsa-miR-5700	0
hsa-miR-5702	0
hsa-miR-5703	0
hsa-miR-5704	0
hsa-miR-5705	0
hsa-miR-5707	0
hsa-miR-5708	0
hsa-miR-571	0
hsa-miR-572	0
hsa-miR-5739	0
hsa-miR-575	0
hsa-miR-576-3p	0
hsa-miR-578	0
hsa-miR-5787	0
hsa-miR-580-5p	0
hsa-miR-583	0
hsa-miR-585-5p	0
hsa-miR-585-3p	0
hsa-miR-587	0
hsa-miR-591	0
hsa-miR-593-5p	0
hsa-miR-593-3p	0
hsa-miR-595	0
hsa-miR-596	0
hsa-miR-599	0
hsa-miR-600	0
hsa-miR-601	0
hsa-miR-604	0
hsa-miR-606	0
hsa-miR-6068	0
hsa-miR-6069	0
hsa-miR-607	0
hsa-miR-6070	0
hsa-miR-6071	0
hsa-miR-6072	0
hsa-miR-6073	0
hsa-miR-6074	0
hsa-miR-6075	0
hsa-miR-6076	0
hsa-miR-6077	0
hsa-miR-6078	0
hsa-miR-6079	0
hsa-miR-608	0
hsa-miR-6080	0
hsa-miR-6081	0
hsa-miR-6082	0
hsa-miR-6083	0
hsa-miR-6084	0
hsa-miR-6085	0
hsa-miR-6086	0
hsa-miR-6088	0
hsa-miR-6089	0
hsa-miR-6089	0
hsa-miR-609	0
hsa-miR-6090	0
hsa-miR-6124	0
hsa-miR-6125	0
hsa-miR-6126	0
hsa-miR-6127	0
hsa-miR-6128	0
hsa-miR-6129	0
hsa-miR-613	0
hsa-miR-6130	0
hsa-miR-6131	0
hsa-miR-6132	0
hsa-miR-6133	0
hsa-miR-6134	0
hsa-miR-614	0
hsa-miR-6165	0
hsa-miR-617	0
hsa-miR-619-3p	0
hsa-miR-620	0
hsa-miR-621	0
hsa-miR-622	0
hsa-miR-623	0
hsa-miR-626	0
hsa-miR-630	0
hsa-miR-631	0
hsa-miR-632	0
hsa-miR-633	0
hsa-miR-634	0
hsa-miR-635	0
hsa-miR-637	0
hsa-miR-638	0
hsa-miR-639	0
hsa-miR-642b-5p	0
hsa-miR-642b-3p	0
hsa-miR-644a	0
hsa-miR-645	0
hsa-miR-646	0
hsa-miR-647	0
hsa-miR-648	0
hsa-miR-649	0
hsa-miR-6499-5p	0
hsa-miR-6499-3p	0
